COUNTRY,CITY,STORE_MICROZONE_ID,TAG,MZ_ACTIVE_USER_PRIME,MZ_ACTIVE_USER,MZ_STORES_COUNT,MZ_ORDERS,MZ_TICKET_MIN,MZ_TICKET_AVG,MZ_ORDER_TIME_AVG,MZ_RTWT_AVG,MZ_CANCEL_AVG,MZ_STORE_ORDERS_AVG,MZ_STORE_ORDERS_MAX,MZ_SUM_TOTAL_VALUE_TAG,MZ_DAY_MORE_ORDERS,MZ_DAY_MORE_ORDERS_COUNT,CITY_STORES_COUNT_TAG,CITY_ORDERS_TAG_AVG,CITY_TICKET_MIN_TAG,CITY_TICKET_TAG_AVG,CITY_ORDERS_TAG_COUNT,CITY_ACTIVE_USER,CITY_ACTIVE_USER_PRIME,CITY_STORES_COUNT,CITY_SUM_TOTAL_VALUE_TAG,CITY_DAY_MORE_ORDERS,CITY_DAY_MORE_ORDERS_COUNT,COUNTRY_NAME
MX,León,3314,Fine Dining y Gourmet,4339,11245,319,15999,52,312,39,21,5,2,2,160,6,3,1,2,52,312,2,50550,19386,1355,160,6,9,Mexico
MX,León,3314,Desayunos y Brunch,4339,11245,319,15999,101,324,39,14,5,38,38,2878,4,23,6,36,36,230,68,50550,19386,1355,7257,5,110,Mexico
MX,León,3314,Saludables y Ensaladas,4339,11245,319,15999,120,239,39,17,5,28,55,3463,2,31,7,9,52,158,55,50550,19386,1355,3463,3,36,Mexico
MX,León,3314,Smoothies y Jugos,4339,11245,319,15999,38,117,39,12,5,5,5,77,3,10,13,6,38,131,13,50550,19386,1355,724,3,66,Mexico
MX,León,3314,Pescados y Mariscos,4339,11245,319,15999,51,271,39,15,5,22,37,2465,5,37,11,7,43,250,37,50550,19386,1355,2465,6,71,Mexico
MX,León,3314,Tacos,4339,11245,319,15999,56,239,39,13,5,52,149,15413,3,172,28,24,37,184,149,50550,19386,1355,15413,0,364,Mexico
MX,León,3314,Mexicana,4339,11245,319,15999,35,129,39,22,5,45,199,9076,2,179,37,17,35,144,199,50550,19386,1355,9076,5,347,Mexico
MX,León,3314,Tortas y Lonches,4339,11245,319,15999,40,136,39,23,5,171,171,4471,0,113,7,71,38,131,171,50550,19386,1355,4471,1,240,Mexico
MX,León,3314,Sándwiches,4339,11245,319,15999,52,321,39,14,5,41,186,8804,3,109,18,70,42,198,186,50550,19386,1355,8804,3,600,Mexico
MX,León,3314,Pollo,4339,11245,319,15999,49,255,39,15,5,25,78,5627,5,80,19,48,38,210,509,50550,19386,1355,19801,0,532,Mexico
